Country,NAME,LAT,LONG,URL,LINE
USA,Van Siclen Ave & Pitkin Ave At Se Corner,-73.890153,40.67250633,http://www.mta.info/nyct/service/,A-C
USA,Ashford St & Livonia Av At Sw Corner,-73.88329,40.66628133,http://www.mta.info/nyct/service/,4-Mar
USA,Shepherd Ave & Pitkin Ave At Se Corner,-73.880665,40.67400133,http://www.mta.info/nyct/service/,A-C
USA,Euclid Ave & Pitkin Ave At Sw Corner,-73.872087,40.67526833,http://www.mta.info/nyct/service/,A-C-S
USA,Euclid Ave & Pitkin Ave At Nw Corner,-73.872086,40.67548833,http://www.mta.info/nyct/service/,A-C-S
USA,Starr St & Wyckoff Ave At Se Corner,-73.922119,40.70601433,http://www.mta.info/nyct/service/,L
USA,Dekalb Ave & Wycoff Ave At Se Corner,-73.919273,40.70415333,http://www.mta.info/nyct/service/,L
USA,Stanhope St & Wycoff Ave At Sw Corner,-73.917959,40.70334233,http://www.mta.info/nyct/service/,L
USA,Stanhope St & Wycoff Ave At Ne Corner,-73.917606,40.70346133,http://www.mta.info/nyct/service/,L
USA,Jefferson St & Wyckoff Ave At Nw Corner,-73.923723,40.70724233,http://www.mta.info/nyct/service/,L
USA,Starr St & Wyckoff Ave At Ne Corner,-73.921931,40.70621633,http://www.mta.info/nyct/service/,L
USA,Forest Ave & Myrtle Ave At Nw Corner,-73.902208,40.70481633,http://www.mta.info/nyct/service/,M
USA,62nd St & 67th Ave At Se Corner,-73.8955591,40.70611538,http://www.mta.info/nyct/service/,M
USA,Britton Ave & Broadway At Nw Corner,-73.882701,40.74294533,http://www.mta.info/nyct/service/,E-M-R
USA,126th St & Roosevelt Ave At Nw Corner,-73.84580039,40.7548279,http://www.mta.info/nyct/service/,7-7 Express
USA,126th St & Roosevelt Ave At Sw Corner,-73.84601379,40.75423698,http://www.mta.info/nyct/service/,7-7 Express
USA,64th Rd & Queens Blvd At Nw Corner,-73.85955373,40.72932524,http://www.mta.info/nyct/service/,E-M-R
USA,75th St & Jamaica At Nw Corner,-73.86659544,40.69147144,http://www.mta.info/nyct/service/,J-Z
USA,104th St & Jamaica Ave At Ne Corner,-73.84329543,40.69526863,http://www.mta.info/nyct/service/,J-Z
USA,Van Wyck Expwy & 89th Ave At Sw Corner,-73.81641338,40.70120445,http://www.mta.info/nyct/service/,E
USA,Flushing Ave & Broadway At Se Corner,-73.94199502,40.7006296,http://www.mta.info/nyct/service/,J-M
USA,Halsey St & Wycoff Ave At Sw Corner (To Canarsie Only),-73.90526431,40.69571257,http://www.mta.info/nyct/service/,L
USA,Utica Ave & Fulton St At Nw Corner,-73.92972549,40.6794871,http://www.mta.info/nyct/service/,A-C
USA,Washington Ave & Lafayette Ave At Ne Corner,-73.96567001,40.68835813,http://www.mta.info/nyct/service/,G
USA,Clinton Ave & Lafayette Ave At Sw Corner,-73.96788613,40.68783351,http://www.mta.info/nyct/service/,G
USA,Bedford Ave & Lafayette Ave At Se Corner,-73.95496904,40.68933096,http://www.mta.info/nyct/service/,G
USA,Bedford Ave & Lafayette Ave At Nw Corner,-73.95528961,40.68955303,http://www.mta.info/nyct/service/,G
USA,Utica Ave & Eastern Pkwy At Se Corner,-73.93072282,40.6686647,http://www.mta.info/nyct/service/,4-Mar
USA,St. Pauls Pl & Caton Ave At Se Corner,-73.96283996,40.65145808,http://www.mta.info/nyct/service/,B-Q
USA,8th St & Surf Ave At Nw Corner,-73.9769987,40.57549885,http://www.mta.info/nyct/service/,F-Q
USA,4th Ave & 10th St At Nw Corner,-73.98947403,40.66985071,http://www.mta.info/nyct/service/,D-F-G-N-R
USA,Mcdonald Ave & Avenue J At Nw Corner,-73.97615661,40.62452814,http://www.mta.info/nyct/service/,F
USA,Main St & Utah St At Nw Corner,-74.25096684,40.51321563,http://www.mta.info/nyct/service/,@
USA,Tracy Av & Arthur Kill Rd At Nw Corner,-74.24543269,40.51538868,http://www.mta.info/nyct/service/,@
USA,90th St & Roosevelt Ave At Nw Corner,-73.876576,40.74854733,http://www.mta.info/nyct/service/,7
USA,Woodhaven Blvd & Queens Blvd At Sw Corner,-73.870973,40.73333033,http://www.mta.info/nyct/service/,E-M-R
USA,Horace Harding Expwy & Queens Blvd At Ne Corner,-73.868733,40.73321333,http://www.mta.info/nyct/service/,E-M-R
USA,103rd St & Roosevelt Ave At Se Corner,-73.862303,40.74977733,http://www.mta.info/nyct/service/,7
USA,67th Ave & Queens Blvd At Se Corner,-73.853492,40.72659533,http://www.mta.info/nyct/service/,E-M-R
USA,71st & Queens Blvd At Ne Corner,-73.843382,40.72149633,http://www.mta.info/nyct/service/,E-F-M-R
USA,Union Tpke & Queens Blvd At Se Corner,-73.831328,40.71397033,http://www.mta.info/nyct/service/,E-F
USA,75th & Queens Blvd At Nw Corner (To Manhattan And Brooklyn Only),-73.8379844,40.71902353,http://www.mta.info/nyct/service/,E-F
USA,Union Tpke & Queens Blvd At Nw Corner,-73.831485,40.71492833,http://www.mta.info/nyct/service/,E-F
USA,Main St & Roosevelt Ave At Se Corner,-73.82991,40.75939033,http://www.mta.info/nyct/service/,7-7 Express
USA,Main St & Roosevelt Ave At Ne Corner,-73.829962,40.75971033,http://www.mta.info/nyct/service/,7-7 Express
USA,Van Wyck Blvd & Queens Blvd At Sw Corner (To Jamaica Only),-73.8201,40.70809233,http://www.mta.info/nyct/service/,E-F
USA,Van Wyck Expwy & Jamaica Ave At Nw Corner,-73.817191,40.70266133,http://www.mta.info/nyct/service/,E
USA,Sutphin Blvd & Archer Ave At Nw Corner,-73.807894,40.70076833,http://www.mta.info/nyct/service/,E-J-Z
USA,Sutphin Blvd & Hillside Ave At Se Corner,-73.809491,40.70565033,http://www.mta.info/nyct/service/,F
USA,153rd St & Hillside Ave At Sw Corner,-73.804491,40.70709133,http://www.mta.info/nyct/service/,F
