BAD DATA!
Station/Turnstile, Last Turnstile Count of Day, First Turnstile Count of Day
149 ST-3 AVE01-00-02,1946101460,1946103922
59 ST-COLUMBUS00-06-00,417588407,417589057
57 ST-7 AVE01-00-00,888913295,888914394
42 ST-TIMES SQ01-00-01,1894979529,1894980290
GRAND AV-NEWTON00-06-01,59493254,59495544
57 ST-7 AVE01-00-04,1895652465,1895654111
EUCLID AVE00-00-02,1495193575,1495195039
JAMAICA-179 ST01-03-02,1291602965,1291603111
ORCHARD BEACH00-00-02,10,95056
LEXINGTON-53 ST01-03-04,335311898,335314304
34 ST-HERALD SQ01-03-02,1558730802,1558733851
JFK JAMAICA CT100-03-04,0,1511
59 ST-COLUMBUS00-06-00,417590783,417590991
FRANKLIN AVE00-00-00,267949196,267953068
42 ST-TIMES SQ01-00-01,1894975685,1894977539
34 ST-HERALD SQ01-03-02,1558719010,1558722474
161 ST-YANKEE00-00-01,1401936548,1401938158
FLATBUSH AVE01-00-01,1508979779,1508981558
42 ST-PA BUS TE00-00-04,50010184,50011873
42 ST-PA BUS TE00-00-05,1559987865,1559990695
161 ST-YANKEE00-00-01,1401941568,1401943242
BEDFORD AVE00-06-03,837249437,837251038
GRAND AV-NEWTON00-06-01,59490768,59493100
125 ST00-00-00,1694199295,1694200711
59 ST-COLUMBUS00-06-00,417590781,417590783
42 ST-PA BUS TE00-00-05,1559997354,1559998360
EUCLID AVE00-00-02,1495200638,1495201240
FLATBUSH AVE01-00-01,1508983361,1508983795
174 ST00-00-02,690352733,690353850
8 AVE00-05-01,196608,134676480
161 ST-YANKEE00-00-01,1401933922,1401935862
14 ST00-00-00,1229206971,1229208439
LEXINGTON AVE00-00-01,1761283067,1761283518
LEXINGTON AVE00-00-01,1761283621,1761284042
149 ST-3 AVE01-00-02,1946091515,1946094346
42 ST-PA BUS TE00-00-04,49990070,49993684
JAMAICA-179 ST01-03-02,1291603125,1291603322
104 ST00-00-02,2026250948,2026251146
JFK JAMAICA CT100-03-01,114,159313
125 ST00-00-00,1694197698,1694199114
BEDFORD AVE00-06-03,837245846,837247424
57 ST-7 AVE01-00-00,888909237,888911676
34 ST-HERALD SQ01-03-02,1558734400,1558735801
LEXINGTON-53 ST01-03-04,335317907,335318582
57 ST-7 AVE01-00-05,1224501349,1224502411
LEXINGTON-53 ST01-03-04,335306193,335308608
EUCLID AVE00-00-02,1495196655,1495198237
57 ST-7 AVE01-00-00,888906173,888908778
FRANKLIN AVE00-00-00,267953354,267957263
BROOKLYN BRIDGE00-03-04,1861322980,1861324573
CORTLANDT ST02-05-00,1058668443,1058668444
LEXINGTON-53 ST01-03-04,335317113,335317796
JAMAICA-179 ST01-03-02,1291601899,1291602337
125 ST00-00-00,1694191553,1694193965
42 ST-PA BUS TE00-00-05,1559998508,1559999340
57 ST-7 AVE01-00-05,1224493865,1224496112
FRANKLIN AVE00-00-00,267963552,267965571
LEXINGTON AVE00-00-01,1761269347,1761272349
174 ST00-00-02,690353886,690354425
42 ST-TIMES SQ01-00-01,1894968651,1894970595
CORTLANDT ST02-05-00,1058668437,1058668438
104 ST00-00-02,2026250789,2026250929
GRAND AV-NEWTON00-06-01,59495659,59497794
57 ST-7 AVE01-00-05,1224496540,1224498684
42 ST-PA BUS TE00-00-04,50002255,50006163
149 ST-3 AVE01-00-02,1946097589,1946101324
149 ST-3 AVE01-00-02,1946106777,1946108250
23 ST-6 AVE00-00-02,1827860927,1827863194
FRANKLIN AVE00-00-00,267961173,267963221
42 ST-PA BUS TE00-00-08,419112634,419114079
59 ST-COLUMBUS00-06-00,417590779,417590781
23 ST-6 AVE00-00-02,1827866032,1827868305
LEXINGTON AVE00-00-01,1761279933,1761282951
FLATBUSH AVE01-00-01,1508983931,1508984253
FLATBUSH AVE01-00-01,1508981618,1508983332
57 ST-7 AVE01-00-05,1224491219,1224493398
BEDFORD AVE00-06-03,837254694,837255425
BROOKLYN BRIDGE00-03-04,1861308826,1861311985
149 ST-3 AVE01-00-02,1946094533,1946097370
BEDFORD AVE00-06-03,837253805,837254507
42 ST-PA BUS TE00-00-08,419096825,419100910
EUCLID AVE00-00-02,1495195127,1495196569
BROOKLYN BRIDGE00-03-04,1861312283,1861315486
34 ST-HERALD SQ01-03-02,1558723370,1558726353
104 ST00-00-02,2026249345,2026249725
JAMAICA-179 ST01-03-02,1291602350,1291602760
42 ST-PA BUS TE00-00-08,419105497,419109304
14 ST00-00-00,1229196563,1229198970
JAMAICA-179 ST01-03-02,1291602785,1291602951
42 ST-PA BUS TE00-00-05,1559999582,1560000696
FLATBUSH AVE01-00-01,1508976333,1508977896
125 ST00-00-03,2012293217,2012298500
125 ST00-00-03,2012283347,2012287828
57 ST-7 AVE01-00-00,888903088,888905585
42 ST-PA BUS TE00-00-04,49998094,50001937
42 ST-TIMES SQ01-00-01,1894971056,1894972949
57 ST-7 AVE01-00-00,888911938,888913014
42 ST-PA BUS TE00-00-05,1559994036,1559997112
42 ST-PA BUS TE00-00-05,1559985051,1559987669
125 ST00-00-00,1694194132,1694196200
LEXINGTON AVE00-00-01,1761276510,1761279526
BEDFORD AVE00-06-03,837251188,837252713
59 ST-COLUMBUS00-06-00,417587526,417588282
42 ST-TIMES SQ01-00-01,1894973383,1894975325
125 ST00-00-03,2012278446,2012282939
59 ST-COLUMBUS00-06-00,417589198,417589985
14 ST00-00-00,1229199551,1229201945
EUCLID AVE00-00-02,1495199870,1495200527
EUCLID AVE00-00-02,1495198323,1495199759
104 ST00-00-02,2026249740,2026250151
42 ST-PA BUS TE00-00-08,419101266,419105194
34 ST-HERALD SQ01-03-02,1558727065,1558730007
104 ST00-00-02,2026250173,2026250559
