BAD DATA!
Station/Turnstile, Last Turnstile Count of Day, First Turnstile Count of Day
59 ST-COLUMBUS00-06-00,417592942,417593626
161 ST-YANKEE00-00-01,1401947580,1401950036
42 ST-PA BUS TE00-00-05,1560013740,1560016815
JAMAICA-179 ST01-03-02,1291603755,1291604216
57 ST-7 AVE01-00-05,1224513477,1224515586
104 ST00-00-02,2026252451,2026252869
57 ST-7 AVE01-00-00,888925737,888928301
57 ST-7 AVE01-00-04,1895663553,1895665033
EUCLID AVE00-00-02,1495208370,1495209852
JAMAICA-179 ST01-03-02,1291605598,1291605744
57 ST-7 AVE01-00-04,1895669572,1895671300
149 ST-3 AVE01-00-02,1946120932,1946123643
LEXINGTON AVE00-00-01,1761285145,1761288091
GRAND AV-NEWTON00-06-01,59515257,59516699
EUCLID AVE00-00-02,1495210655,1495211450
42 ST-TIMES SQ01-00-01,1894992878,1894993652
LEXINGTON AVE00-00-01,1761304493,1761305792
GRAND AV-NEWTON00-06-01,59509301,59511587
FRANKLIN AVE00-00-00,267989055,267991615
JAMAICA-179 ST01-03-02,1291605171,1291605584
LEXINGTON-53 ST01-03-04,335322502,335325026
